t=2026-06-04T10:21:02-0600 lvl=info msg="no configuration paths supplied"
t=2026-06-04T10:21:02-0600 lvl=info msg="using configuration at default config path" path="C:\\Users\\Soporte TI Junior\\AppData\\Local\\ngrok\\ngrok.yml"
t=2026-06-04T10:21:02-0600 lvl=info msg="open config file" path="C:\\Users\\Soporte TI Junior\\AppData\\Local\\ngrok\\ngrok.yml" err=nil
t=2026-06-04T10:21:02-0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-04T10:21:02-0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-04T10:21:02-0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-04T10:21:02-0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-04T11:06:25-0600 lvl=info msg="join connections" obj=join id=621d2e785634 l=[::1]:3000 r=[2a03:2880:22ff:50::]:56506
t=2026-06-04T11:06:26-0600 lvl=info msg="join connections" obj=join id=e0b396320d05 l=[::1]:3000 r=[2a03:2880:22ff:4d::]:53320
t=2026-06-04T11:06:26-0600 lvl=info msg="join connections" obj=join id=f1f2efc5f273 l=[::1]:3000 r=[2a03:2880:10ff:4b::]:58794
t=2026-06-04T11:06:26-0600 lvl=info msg="join connections" obj=join id=2df405153ab1 l=[::1]:3000 r=[2a03:2880:22ff:4c::]:51700
t=2026-06-04T11:12:44-0600 lvl=info msg="join connections" obj=join id=e63efcdb3c90 l=[::1]:3000 r=[2a03:2880:10ff:9::]:61132
t=2026-06-04T11:12:51-0600 lvl=info msg="join connections" obj=join id=97e7772141f4 l=[::1]:3000 r=[2a03:2880:22ff:40::]:62868
t=2026-06-04T11:12:51-0600 lvl=info msg="join connections" obj=join id=cf68e80e36a9 l=[::1]:3000 r=[2a03:2880:21ff:49::]:61668
t=2026-06-04T11:12:52-0600 lvl=info msg="join connections" obj=join id=ad7f42c3ca0a l=[::1]:3000 r=[2a03:2880:2ff:5e::]:53106
t=2026-06-04T11:12:52-0600 lvl=info msg="join connections" obj=join id=45c85cd99ff8 l=[::1]:3000 r=[2a03:2880:10ff:57::]:37306
t=2026-06-04T11:22:06-0600 lvl=info msg="join connections" obj=join id=d92e76d734e4 l=[::1]:3000 r=[2a03:2880:22ff:6::]:37062
t=2026-06-04T11:22:13-0600 lvl=info msg="join connections" obj=join id=4ab5f0e2af25 l=[::1]:3000 r=[2a03:2880:22ff:7::]:54638
t=2026-06-04T11:22:13-0600 lvl=info msg="join connections" obj=join id=fa83a746e1cf l=[::1]:3000 r=[2a03:2880:22ff:6::]:65448
t=2026-06-04T11:22:13-0600 lvl=info msg="join connections" obj=join id=1095c1c5fb8d l=[::1]:3000 r=[2a03:2880:22ff:1::]:35824
t=2026-06-04T11:22:13-0600 lvl=info msg="join connections" obj=join id=33a9698f6796 l=[::1]:3000 r=[2a03:2880:22ff:72::]:54944
t=2026-06-04T11:28:57-0600 lvl=info msg="join connections" obj=join id=3fed99607714 l=[::1]:3000 r=[2a03:2880:10ff:4e::]:62864
t=2026-06-04T11:29:05-0600 lvl=info msg="join connections" obj=join id=0d85da3cd027 l=[::1]:3000 r=[2a03:2880:22ff:45::]:60092
t=2026-06-04T11:29:05-0600 lvl=info msg="join connections" obj=join id=8bb20769ddda l=[::1]:3000 r=[2a03:2880:22ff:7::]:53338
t=2026-06-04T11:29:05-0600 lvl=info msg="join connections" obj=join id=82bb0156f800 l=[::1]:3000 r=[2a03:2880:10ff:3::]:46122
t=2026-06-04T11:29:05-0600 lvl=info msg="join connections" obj=join id=0852adac2c56 l=[::1]:3000 r=[2a03:2880:12ff:8::]:61946
t=2026-06-04T11:36:53-0600 lvl=info msg="join connections" obj=join id=4cb6af379765 l=[::1]:3000 r=[2a03:2880:22ff:71::]:51802
t=2026-06-04T11:36:57-0600 lvl=info msg="join connections" obj=join id=dffec4a52ee2 l=[::1]:3000 r=[2a03:2880:22ff:4b::]:33382
